
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
QB,Aaron Rodgers%,,GNB,31,9,16,16,341,520,4381,38,5,43,269,2,0,0,0,2,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
QB,Ben Roethlisberger%,,PIT,32,10,16,16,408,608,4952,32,9,33,27,0,0,-6,0,0,0.0,0,Pro Football Focus: 2nd Team All-NFL
QB,Tony Romo,Irvin,DAL,34,10,15,15,304,435,3705,34,9,26,61,0,0,0,0,1,0.0,0,Associated Press: 2nd Team All-NFL
QB,Tom Brady%,,NWE,37,14,16,16,373,582,4109,33,9,36,57,0,0,0,0,1,0.0,0,
QB,Drew Brees+,Carter,NOR,35,13,16,16,456,659,4952,33,17,27,68,1,1,1,0,0,0.0,0,
QB,Andy Dalton+,Carter,CIN,27,3,16,16,309,481,3398,19,17,60,169,4,1,18,1,2,0.0,0,
QB,Andrew Luck,Carter,IND,25,2,16,16,380,616,4761,40,16,64,273,3,0,0,0,3,0.0,0,
QB,Peyton Manning%,,DEN,38,16,16,16,395,597,4727,39,15,24,-24,0,0,0,0,2,0.0,0,
QB,Matt Ryan+,Irvin,ATL,29,6,16,16,415,628,4694,28,14,29,145,0,0,0,0,0,0.0,0,
QB,Matthew Stafford+,Irvin,DET,26,5,16,16,363,602,4257,22,12,43,93,2,0,0,0,3,0.0,0,
RB,Le'Veon Bell%,,PIT,22,1,16,16,0,0,0,0,0,290,1361,8,83,854,3,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
RB,Darren Sproles,Irvin,PHI,31,9,15,0,0,0,0,0,0,57,329,6,40,387,0,1,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
RB,DeMarco Murray,Irvin,DAL,26,3,16,16,0,0,0,0,0,392,1845,13,57,416,0,2,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
RB,Marshawn Lynch%,,SEA,28,7,16,14,0,0,0,0,0,280,1306,13,37,367,4,0,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 2nd Team All-NFL
RB,C.J. Anderson+,Irvin,DEN,23,1,15,7,0,0,0,0,0,179,849,8,34,324,2,1,0.0,0,
RB,Jamaal Charles,Carter,KAN,28,6,15,15,0,0,0,0,0,206,1033,9,40,291,5,2,0.0,0,
RB,Justin Forsett+,Carter,BAL,29,6,16,14,0,0,0,0,0,235,1266,8,44,263,0,2,0.0,0,
RB,Arian Foster%,,HOU,28,5,13,13,1,1,5,1,0,260,1246,8,38,327,5,1,0.0,0,
RB,Mark Ingram,Irvin,NOR,25,3,13,9,0,0,0,0,0,226,964,9,29,145,0,1,0.0,0,
RB,LeSean McCoy%,,PHI,26,5,16,16,0,0,0,0,0,312,1319,5,28,155,0,1,0.0,0,
RB,Alfred Morris+,Carter,WAS,26,2,16,16,0,0,0,0,0,265,1074,8,17,155,0,2,0.0,0,
