
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
,John Carney+%,NFC,NYG,44,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
LG,Alan Faneca+%,AFC,NYJ,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,Associated Press: 2nd Team All-NFL
LILB,James Farrior+%,AFC,PIT,33,11,16,16,0,0,0,0,0,0,0,0,0,0,0,87,3.5,0,Associated Press: 2nd Team All-NFL
ROLB,Terrell Suggs+%,AFC,BAL,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,53,8.0,2,Associated Press: 2nd Team All-NFL
LG,Kris Dielman+%,AFC,SDG,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
LT,Walter Jones+%,NFC,SEA,34,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
MLB,Patrick Willis+%,NFC,SFO,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,109,1.0,1,Associated Press: 2nd Team All-NFL
,Clifton Smith+%,NFC,TAM,23,Rook,9,0,0,0,0,0,0,8,40,0,4,24,0,6,0.0,0,Associated Press: 2nd Team All-NFL
RB,Clinton Portis+%,NFC,WAS,27,6,16,16,0,0,0,0,0,342,1487,9,28,218,0,3,0.0,0,Associated Press: 2nd Team All-NFL
WR,Roddy White+%,NFC,ATL,27,3,16,15,0,0,0,0,0,2,4,0,88,1382,7,7,0.0,0,
RB,Marshawn Lynch+%,AFC,BUF,22,1,15,15,0,0,0,0,0,250,1036,8,47,300,1,0,0.0,0,
RLB,Lance Briggs+%,NFC,CHI,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,90,0.5,3,
,Ryan Pontbriand+%,AFC,CLE,29,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
NT,Shaun Rogers+%,AFC,CLE,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,61,4.5,0,
RDE,Dwight Freeney+%,AFC,IND,28,6,15,14,0,0,0,0,0,0,0,0,0,0,0,24,10.5,0,
,Robert Mathis+%,AFC,IND,27,5,15,2,0,0,0,0,0,0,0,0,0,0,0,36,11.5,0,
WR,Reggie Wayne+%,AFC,IND,30,7,16,16,0,0,0,0,0,0,0,0,82,1145,6,3,0.0,0,
WR,Anquan Boldin+%,NFC,ARI,28,5,12,11,0,0,0,0,0,9,67,0,89,1038,11,2,0.0,0,
,Sean Morey+%,NFC,ARI,32,9,16,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0,
QB,Kurt Warner+%,NFC,ARI,37,10,16,16,401,598,4583,30,14,18,-2,0,0,0,0,0,0.0,0,
LT,Flozell Adams+%,NFC,DAL,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,
RG,Leonard Davis+%,NFC,DAL,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
C,Andre Gurode+%,NFC,DAL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,
NT,Jay Ratliff+%,NFC,DAL,27,3,16,16,0,0,0,0,0,0,0,0,0,0,0,33,7.5,0,
QB,Jay Cutler+%,AFC,DEN,25,2,16,16,384,616,4526,25,18,57,200,2,0,0,0,1,0.0,0,
WR,Brandon Marshall+%,AFC,DEN,24,2,15,15,0,0,0,0,0,2,-4,0,104,1265,6,2,0.0,0,
C,Casey Wiegmann+%,AFC,DEN,35,11,16,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,
RCB,Al Harris+%,NFC,GNB,34,10,12,12,0,0,0,0,0,0,0,0,0,0,0,23,0.0,0,
TE,Owen Daniels+%,AFC,HOU,26,2,16,16,0,0,0,0,0,0,0,0,70,862,2,1,0.0,0,
LG,Brian Waters+%,AFC,KAN,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,
RB,Ronnie Brown+%,AFC,MIA,27,3,16,13,2,3,41,1,0,214,916,10,33,254,0,1,0.0,0,
LT,Jake Long+%,AFC,MIA,23,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
LDT,Pat Williams+%,NFC,MIN,36,11,14,14,0,0,0,0,0,0,0,0,0,0,0,31,1.0,0,
LT,Jammal Brown+%,NFC,NOR,27,3,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
,Zak DeOssie+%,NFC,NYG,24,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
,Jeff Feagles+%,NFC,NYG,42,20,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
QB,Eli Manning+%,NFC,NYG,27,4,16,16,289,479,3238,21,10,20,10,1,0,0,0,0,0.0,0,
QB,Brett Favre+%,AFC,NYJ,39,17,16,16,343,522,3472,22,22,21,43,1,0,2,0,0,0.0,0,
RB,Thomas Jones+%,AFC,NYJ,30,8,16,14,0,0,0,0,0,290,1312,13,36,207,2,2,0.0,0,
C,Nick Mangold+%,AFC,NYJ,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
LCB,Darrelle Revis+%,AFC,NYJ,23,1,16,16,0,0,0,0,0,0,0,0,0,-1,0,45,1.0,5,
QB,Kerry Collins+%,AFC,TEN,36,13,16,15,242,415,2676,12,7,25,49,0,0,0,0,2,0.0,0,
SS,Chris Hope+%,AFC,TEN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,63,1.0,4,
RB,Chris Johnson+%,AFC,TEN,23,Rook,15,14,0,0,0,0,0,251,1228,9,43,260,1,1,0.0,0,
FS,Brian Dawkins+%,NFC,PHI,35,12,16,16,0,0,0,0,0,0,0,0,0,0,0,64,3.0,1,
LCB,Asante Samuel+%,NFC,PHI,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,31,0.0,4,
TE,Antonio Gates+%,AFC,SDG,28,5,16,16,0,0,0,0,0,0,0,0,60,704,8,1,0.0,0,
RLB,Julian Peterson+%,NFC,SEA,30,8,16,15,0,0,0,0,0,0,0,0,0,0,0,65,5.0,0,
RCB,Ronde Barber+%,NFC,TAM,33,11,16,16,0,0,0,0,0,0,0,0,0,0,0,67,2.0,4,
RLB,Derrick Brooks+%,NFC,TAM,35,13,16,16,0,0,0,0,0,0,0,0,0,0,0,58,0.0,1,
RG,Davin Joseph+%,NFC,TAM,25,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
TE,Chris Cooley+%,NFC,WAS,26,4,16,16,0,0,0,0,0,0,0,0,83,849,1,1,0.0,0,
LT,Chris Samuels+%,NFC,WAS,31,8,12,12,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
FB,Mike Sellers+%,NFC,WAS,33,10,16,6,0,0,0,0,0,6,24,0,12,98,1,11,0.0,0,
