
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
FS,Michael Griffin+%,AFC,TEN,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,55,1.0,7,
RB,Michael Turner+%,NFC,ATL,26,4,16,16,0,0,0,0,0,376,1699,17,6,41,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LT,Jordan Gross+%,NFC,CAR,28,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
WR,Larry Fitzgerald+%,NFC,ARI,25,4,16,16,0,0,0,0,0,0,0,0,96,1431,12,2,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
ROLB,DeMarcus Ware+%,NFC,DAL,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,69,20.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
WR,Andre Johnson+%,AFC,HOU,27,5,16,16,0,0,0,0,0,0,0,0,115,1575,8,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
TE,Tony Gonzalez+%,AFC,KAN,32,11,16,16,0,0,0,0,0,0,0,0,96,1058,10,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LG,Steve Hutchinson+%,NFC,MIN,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RB,Adrian Peterson+%,NFC,MIN,23,1,16,15,0,0,0,0,0,363,1760,10,21,125,0,4,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
,Stephen Gostkowski+%,AFC,NWE,24,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RG,Chris Snee+%,NFC,NYG,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RCB,Cortland Finnegan+%,AFC,TEN,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,58,1.0,5,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RDT,Albert Haynesworth+%,AFC,TEN,27,6,14,14,0,0,0,0,0,0,0,0,0,0,0,41,8.5,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
LT,Michael Roos+%,AFC,TEN,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
ROLB,James Harrison+%,AFC,PIT,30,6,15,15,0,0,0,0,0,0,0,0,0,0,0,67,16.0,1,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
SS,Troy Polamalu+%,AFC,PIT,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,54,0.0,7,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RCB,Nnamdi Asomugha+%,AFC,OAK,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,33,0.0,1,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
,Shane Lechler+%,AFC,OAK,32,8,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
FS,Ed Reed+%,AFC,BAL,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,34,1.0,9,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
QB,Peyton Manning+%,AFC,IND,32,10,16,16,371,555,4002,27,12,20,21,1,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
RDT,Kevin Williams+%,NFC,MIN,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,45,8.5,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
LDE,Justin Tuck+%,NFC,NYG,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,52,12.0,1,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
C,Kevin Mawae+%,AFC,TEN,37,14,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
LILB,Ray Lewis+%,AFC,BAL,33,12,16,16,0,0,0,0,0,0,0,0,0,0,0,85,3.5,3,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
RDE,Julius Peppers+%,NFC,CAR,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,40,14.5,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
ROLB,Joey Porter+%,AFC,MIA,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,36,17.5,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
QB,Drew Brees+%,NFC,NOR,29,7,16,16,413,635,5069,34,17,22,-1,0,0,0,0,2,0.0,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
C,Shaun O'Hara+%,NFC,NYG,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
NT,Kris Jenkins+%,AFC,NYJ,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,37,3.5,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
MLB,Jon Beason+%,NFC,CAR,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,110,0.0,3,Associated Press: 1st Team All-NFL
RDE,Mario Williams+%,AFC,HOU,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,44,12.0,0,Sporting News: 1st Team All-NFL
RDE,Jared Allen+%,NFC,MIN,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,41,14.5,0,Associated Press: 1st Team All-NFL
,Leon Washington+%,AFC,NYJ,26,2,16,1,0,0,0,0,0,76,448,6,47,355,2,4,0.0,0,Associated Press: 1st Team All-NFL
,Brendon Ayanbadejo+%,AFC,BAL,32,5,16,0,0,0,0,0,0,0,0,0,0,0,0,15,1.0,0,Pro Football Writers: 1st Team All-NFL
FB,Le'Ron McClain+%,AFC,BAL,24,1,16,16,0,0,0,0,0,232,902,10,19,123,1,1,0.0,0,Associated Press: 1st Team All-NFL
LT,Jason Peters+%,AFC,BUF,26,4,13,13,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,Associated Press: 2nd Team All-NFL
WR,Steve Smith+%,NFC,CAR,29,7,14,14,0,0,0,0,0,5,40,0,78,1421,6,4,0.0,0,Associated Press: 2nd Team All-NFL
LT,Joe Thomas+%,AFC,CLE,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
SS,Adrian Wilson+%,NFC,ARI,29,7,15,14,0,0,0,0,0,0,0,0,0,0,0,60,2.5,2,Associated Press: 2nd Team All-NFL
TE,Jason Witten+%,NFC,DAL,26,5,16,16,1,1,42,0,0,0,0,0,81,952,4,1,0.0,0,Associated Press: 2nd Team All-NFL
FS,Nick Collins+%,NFC,GNB,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,60,0.0,7,Associated Press: 2nd Team All-NFL
LCB,Charles Woodson+%,NFC,GNB,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,50,3.0,7,Associated Press: 2nd Team All-NFL
LCB,Antoine Winfield+%,NFC,MIN,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,81,2.0,2,Associated Press: 2nd Team All-NFL
WR,Wes Welker+%,AFC,NWE,27,4,16,14,0,0,0,0,0,3,26,0,111,1165,3,4,0.0,0,Associated Press: 2nd Team All-NFL
