
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
QB,Peyton Manning%,,DEN,37,15,16,16,450,659,5477,55,10,32,-31,1,0,0,0,2,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
QB,Philip Rivers,Rice,SDG,32,9,16,16,378,544,4478,32,11,28,72,0,0,-9,0,2,0.0,0,Pro Football Focus: 2nd Team All-NFL
QB,Cam Newton,Sanders,CAR,24,2,16,16,292,473,3379,24,13,111,585,6,0,0,0,2,0.0,0,
QB,Andrew Luck+,Sanders,IND,24,1,16,16,343,570,3822,23,9,63,377,4,0,0,0,3,0.0,0,
QB,Alex Smith+,Rice,KAN,29,8,15,15,308,508,3313,23,7,76,431,1,1,-4,0,1,0.0,0,
QB,Drew Brees,Rice,NOR,34,12,16,16,446,650,5162,39,12,35,52,3,0,0,0,0,0.0,0,
QB,Tom Brady%,,NWE,36,13,16,16,380,628,4343,25,11,32,18,0,0,0,0,0,0.0,0,
QB,Nick Foles+,Sanders,PHI,24,1,13,10,203,317,2891,27,2,57,221,3,0,0,0,1,0.0,0,
QB,Russell Wilson%,,SEA,25,1,16,16,257,407,3357,26,9,96,539,1,0,0,0,3,0.0,0,
RB,LeSean McCoy,Rice,PHI,25,4,16,16,0,0,0,0,0,314,1607,9,52,539,2,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
RB,Jamaal Charles,Sanders,KAN,27,5,15,15,0,0,0,0,0,259,1287,12,70,693,7,4,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
RB,Eddie Lacy+,Sanders,GNB,23,Rook,15,15,0,0,0,0,0,284,1178,11,35,257,0,2,0.0,0,Associated Press: 2nd Team All-NFL
RB,Adrian Peterson%,,MIN,28,6,14,14,0,0,0,0,0,279,1266,10,29,171,1,2,0.0,0,Associated Press: 2nd Team All-NFL
RB,Matt Forte,Rice,CHI,28,5,16,16,0,0,0,0,0,289,1339,9,74,594,3,4,0.0,0,
RB,DeMarco Murray+,Rice,DAL,25,2,14,14,0,0,0,0,0,217,1121,9,53,350,1,1,0.0,0,
RB,Marshawn Lynch%,,SEA,27,6,16,16,0,0,0,0,0,301,1257,12,36,316,2,3,0.0,0,
RB,Frank Gore%,,SFO,30,8,16,16,0,0,0,0,0,276,1128,9,16,141,0,0,0.0,0,
RB,Alfred Morris+,Sanders,WAS,25,1,16,16,0,0,0,0,0,276,1275,7,9,78,0,1,0.0,0,
FB,Mike Tolbert,Rice,CAR,28,5,16,13,0,0,0,0,0,101,361,5,27,184,2,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
FB,Marcel Reece,Sanders,OAK,28,5,16,15,1,1,22,0,0,46,218,2,32,331,2,1,0.0,0,Associated Press: 2nd Team All-NFL
WR,Calvin Johnson%,,DET,28,6,14,14,0,0,0,0,0,0,0,0,84,1492,12,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
WR,Josh Gordon,Rice,CLE,22,1,14,14,0,0,0,0,0,5,88,0,87,1646,9,1,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
WR,Antonio Brown,Sanders,PIT,25,3,16,14,1,1,15,0,0,7,4,0,110,1499,8,2,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 1st Team All-NFL
WR,Brandon Marshall,Rice,CHI,29,7,16,16,0,0,0,0,0,0,0,0,100,1295,12,0,0.0,0,Pro Football Focus: 1st Team All-NFL
