
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
LOLB,Mike Vrabel+%,AFC,NWE,32,10,16,15,0,0,0,0,0,0,0,0,2,3,2,55,12.5,0,Associated Press: 1st Team All-NFL
LG,Alan Faneca+%,AFC,PIT,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
RCB,Antonio Cromartie+%,AFC,SDG,23,1,16,8,0,0,0,0,0,0,0,0,0,0,0,39,0.0,10,Associated Press: 1st Team All-NFL
TE,Antonio Gates+%,AFC,SDG,27,4,16,16,0,0,0,0,0,0,0,0,75,984,9,2,0.0,0,Pro Football Writers: 1st Team All-NFL
FB,Lorenzo Neal+%,AFC,SDG,37,14,13,8,0,0,0,0,0,13,32,0,8,23,1,0,0.0,0,Associated Press: 1st Team All-NFL
LDE,Patrick Kerney+%,NFC,SEA,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,49,14.5,1,Associated Press: 1st Team All-NFL
MLB,Lofa Tatupu+%,NFC,SEA,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,83,1.0,4,Associated Press: 1st Team All-NFL
LCB,Marcus Trufant+%,NFC,SEA,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,78,0.0,7,Sporting News: 1st Team All-NFL
,Andy Lee+%,NFC,SFO,25,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
WR,Reggie Wayne+%,AFC,IND,29,6,16,16,0,0,0,0,0,1,4,0,104,1510,10,6,0.0,0,Associated Press: 2nd Team All-NFL
RG,Leonard Davis+%,NFC,DAL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
QB,Brett Favre+%,NFC,GNB,38,16,16,16,356,535,4155,28,15,29,12,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
RCB,Al Harris+%,NFC,GNB,33,9,16,16,0,0,0,0,0,0,0,0,0,0,0,33,0.0,2,Associated Press: 2nd Team All-NFL
LDE,Aaron Kampman+%,NFC,GNB,28,5,15,15,0,0,0,0,0,0,0,0,0,0,0,48,12.0,0,Associated Press: 2nd Team All-NFL
RB,Fred Taylor+%,AFC,JAX,31,9,15,15,0,0,0,0,0,223,1202,5,9,58,0,0,0.0,0,Associated Press: 2nd Team All-NFL
TE,Tony Gonzalez+%,AFC,KAN,31,10,16,16,0,0,0,0,0,0,0,0,99,1172,5,4,0.0,0,Associated Press: 2nd Team All-NFL
,Tony Richardson+%,NFC,MIN,36,12,14,3,0,0,0,0,0,7,13,0,11,89,0,1,0.0,0,Associated Press: 2nd Team All-NFL
SS,Darren Sharper+%,NFC,MIN,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,49,0.0,4,Associated Press: 2nd Team All-NFL
LDT,Pat Williams+%,NFC,MIN,35,10,16,16,0,0,0,0,0,0,0,0,0,0,0,43,2.0,0,Associated Press: 2nd Team All-NFL
C,Dan Koppen+%,AFC,NWE,28,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
NT,Vince Wilfork+%,AFC,NWE,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,36,2.0,0,Associated Press: 2nd Team All-NFL
ROLB,James Harrison+%,AFC,PIT,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,76,8.5,1,Associated Press: 2nd Team All-NFL
SS,Troy Polamalu+%,AFC,PIT,26,4,11,11,0,0,0,0,0,0,0,0,0,0,0,45,0.0,0,Associated Press: 2nd Team All-NFL
ROLB,Shawne Merriman+%,AFC,SDG,23,2,15,15,0,0,0,0,0,0,0,0,0,0,0,54,12.5,0,Associated Press: 2nd Team All-NFL
RDE,Aaron Schobel+%,AFC,BUF,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,45,6.5,0,
,Brendon Ayanbadejo+%,NFC,CHI,31,4,16,0,0,0,0,0,0,0,0,0,0,0,0,19,0.0,0,
RLB,Lance Briggs+%,NFC,CHI,27,4,14,14,0,0,0,0,0,0,0,0,0,0,0,83,2.0,0,
RDT,Tommie Harris+%,NFC,CHI,24,3,16,13,0,0,0,0,0,0,0,0,0,0,0,31,8.0,0,
WR,T.J. Houshmandzadeh+%,AFC,CIN,30,6,16,15,0,0,0,0,0,5,14,0,112,1143,12,8,0.0,0,
WR,Chad Johnson+%,AFC,CIN,29,6,16,16,0,0,0,0,0,6,47,0,93,1440,8,0,0.0,0,
QB,Derek Anderson+%,AFC,CLE,24,1,16,15,298,527,3787,29,19,32,70,3,0,0,0,1,0.0,0,
,Ryan Pontbriand+%,AFC,CLE,28,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
LT,Joe Thomas+%,AFC,CLE,23,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
TE,Kellen Winslow+%,AFC,CLE,24,3,16,14,0,0,0,0,0,0,0,0,82,1106,5,2,0.0,0,
RB,Joseph Addai+%,AFC,IND,24,1,15,15,0,0,0,0,0,261,1072,12,41,364,3,1,0.0,0,
FS,Antoine Bethea+%,AFC,IND,23,1,13,13,0,0,0,0,0,0,0,0,0,0,0,47,0.0,4,
QB,Peyton Manning+%,AFC,IND,31,9,16,16,337,515,4040,31,14,20,-5,3,0,0,0,1,0.0,0,
RDT,Darnell Dockett+%,NFC,ARI,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,43,9.0,0,
WR,Larry Fitzgerald+%,NFC,ARI,24,3,15,15,0,0,0,0,0,0,0,0,100,1409,10,7,0.0,0,
LT,Flozell Adams+%,NFC,DAL,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
,Marion Barber+%,NFC,DAL,24,2,16,0,0,0,0,0,0,204,975,10,44,282,2,0,0.0,0,
LOLB,Greg Ellis+%,NFC,DAL,32,9,13,10,0,0,0,0,0,0,0,0,0,0,0,24,12.5,0,
,Nick Folk+%,NFC,DAL,23,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
FS,Ken Hamlin+%,NFC,DAL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0.0,5,
RCB,Terence Newman+%,NFC,DAL,29,4,13,11,0,0,0,0,0,0,0,0,0,0,0,44,0.0,4,
QB,Tony Romo+%,NFC,DAL,27,3,16,16,335,520,4211,36,19,31,129,2,0,0,0,0,0.0,0,
SS,Roy Williams+%,NFC,DAL,27,5,15,13,0,0,0,0,0,0,0,0,0,0,0,73,0.0,2,
FS,John Lynch+%,AFC,DEN,36,14,13,12,0,0,0,0,0,0,0,0,0,0,0,46,1.0,0,
LT,Chad Clifton+%,NFC,GNB,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
WR,Donald Driver+%,NFC,GNB,32,8,15,14,0,0,0,0,0,2,4,0,82,1048,2,1,0.0,0,
RDE,Jason Taylor+%,AFC,MIA,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,47,11.0,1,
C,Matt Birk+%,NFC,MIN,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
RDE,Osi Umenyiora+%,NFC,NYG,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,40,13.0,0,
RDE,Kyle Vanden Bosch+%,AFC,TEN,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,48,12.0,0,
RG,Shawn Andrews+%,NFC,PHI,25,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
RDE,Trent Cole+%,NFC,PHI,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,49,12.5,0,
NT,Casey Hampton+%,AFC,PIT,30,6,15,15,0,0,0,0,0,0,0,0,0,0,0,17,0.5,0,
RB,Willie Parker+%,AFC,PIT,27,3,15,15,0,1,0,0,0,321,1316,2,23,164,0,0,0.0,0,
