
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
QB,Peyton Manning,AFC,DEN,36,14,16,16,400,583,4659,37,11,23,6,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
QB,Aaron Rodgers%,NFC,GNB,29,7,16,16,371,552,4295,39,8,54,259,2,1,-1,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 2nd Team All-NFL
QB,Matt Ryan%,NFC,ATL,27,4,16,16,422,615,4719,32,14,34,141,1,0,0,0,0,0.0,0,
QB,Andrew Luck+,AFC,IND,23,Rook,16,16,339,627,4374,23,18,62,255,5,0,0,0,0,0.0,0,
QB,Matt Schaub,AFC,HOU,31,8,16,16,350,544,4008,22,12,21,-9,0,1,-6,0,0,0.0,0,
QB,Drew Brees+,NFC,NOR,33,11,16,16,422,670,5177,43,19,15,5,1,0,0,0,1,0.0,0,
QB,Tom Brady%,AFC,NWE,35,12,16,16,401,637,4827,34,8,23,32,4,0,0,0,2,0.0,0,
QB,Eli Manning+,NFC,NYG,31,8,16,16,321,536,3948,26,15,20,30,0,0,0,0,0,0.0,0,
QB,Russell Wilson+,NFC,SEA,24,Rook,16,16,252,393,3118,26,10,94,489,4,0,0,0,0,0.0,0,
QB,Robert Griffin%,NFC,WAS,22,Rook,15,15,258,393,3200,20,5,120,815,7,0,0,0,0,0.0,0,
RB,Adrian Peterson,NFC,MIN,27,5,16,16,0,0,0,0,0,348,2097,12,40,217,1,2,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
RB,Marshawn Lynch,NFC,SEA,26,5,16,15,0,0,0,0,0,315,1590,11,23,196,1,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
RB,C.J. Spiller+,AFC,BUF,25,2,16,9,0,0,0,0,0,207,1244,6,43,459,2,0,0.0,0,Pro Football Focus: 2nd Team All-NFL
RB,Jamaal Charles,AFC,KAN,26,4,16,15,0,0,0,0,0,285,1509,5,35,236,1,0,0.0,0,Associated Press: 2nd Team All-NFL
RB,Arian Foster,AFC,HOU,26,3,16,16,0,0,0,0,0,351,1424,15,40,217,2,0,0.0,0,
RB,Ray Rice%,AFC,BAL,25,4,16,16,0,0,0,0,0,257,1143,9,61,478,1,0,0.0,0,
RB,Frank Gore%,NFC,SFO,29,7,16,16,0,0,0,0,0,258,1214,8,28,234,1,0,0.0,0,
RB,Doug Martin+,NFC,TAM,23,Rook,16,16,0,0,0,0,0,319,1454,11,49,472,1,0,0.0,0,
FB,Vonta Leach%,AFC,BAL,31,8,16,13,0,0,0,0,0,9,32,1,21,143,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
FB,Jerome Felton,NFC,MIN,26,4,16,7,0,0,0,0,0,0,0,0,3,35,0,0,0.0,0,Associated Press: 2nd Team All-NFL
FB,Marcel Reece+,AFC,OAK,27,4,16,14,0,0,0,0,0,59,271,0,52,496,1,0,0.0,0,Pro Football Focus: 2nd Team All-NFL
WR,Calvin Johnson%,NFC,DET,27,5,16,16,0,0,0,0,0,0,0,0,122,1964,5,2,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
WR,Brandon Marshall%,NFC,CHI,28,6,16,16,0,0,0,0,0,1,-2,0,118,1508,11,4,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
WR,Andre Johnson,AFC,HOU,31,9,16,16,0,0,0,0,0,0,0,0,112,1598,4,2,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 1st Team All-NFL
WR,Reggie Wayne,AFC,IND,34,11,16,15,0,0,0,0,0,1,-5,0,106,1355,5,6,0.0,0,Pro Football Focus: 1st Team All-NFL
WR,A.J. Green,AFC,CIN,24,1,16,16,0,0,0,0,0,4,38,0,97,1350,11,2,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 2nd Team All-NFL
WR,Vincent Jackson+,NFC,TAM,29,7,16,16,0,0,0,0,0,0,0,0,72,1384,8,3,0.0,0,Pro Football Focus: 2nd Team All-NFL
WR,Julio Jones,NFC,ATL,23,1,16,15,0,0,0,0,0,6,30,0,79,1198,10,1,0.0,0,
WR,Larry Fitzgerald+,NFC,ARI,29,8,16,16,0,0,0,0,0,0,0,0,71,798,4,2,0.0,0,
WR,Demaryius Thomas+,AFC,DEN,25,2,16,16,0,0,0,0,0,0,0,0,94,1434,10,0,0.0,0,
WR,Wes Welker%,AFC,NWE,31,8,16,12,0,0,0,0,0,2,20,0,118,1354,6,2,0.0,0,
WR,Victor Cruz,NFC,NYG,26,2,16,16,0,0,0,0,0,0,0,0,86,1092,10,2,0.0,0,
TE,Rob Gronkowski%,AFC,NWE,23,2,11,11,0,0,0,0,0,0,0,0,55,790,11,0,0.0,0,Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
TE,Tony Gonzalez%,NFC,ATL,36,15,16,16,0,0,0,0,0,0,0,0,93,930,8,3,0.0,0,Associated Press: 1st Team All-NFL
TE,Jason Witten,NFC,DAL,30,9,16,16,0,0,0,0,0,0,0,0,110,1039,3,0,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 2nd Team All-NFL
TE,Jermaine Gresham+,AFC,CIN,24,2,16,15,0,0,0,0,0,0,0,0,64,737,5,0,0.0,0,
TE,Owen Daniels+,AFC,HOU,30,6,15,14,0,0,0,0,0,0,0,0,62,716,6,4,0.0,0,
TE,Kyle Rudolph+,NFC,MIN,23,1,16,16,0,0,0,0,0,0,0,0,53,493,9,2,0.0,0,
TE,Heath Miller%,AFC,PIT,30,7,15,15,0,0,0,0,0,0,0,0,71,816,8,3,0.0,0,
T,Duane Brown,AFC,HOU,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
T,Ryan Clady%,AFC,DEN,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
T,Joe Staley%,NFC,SFO,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 2nd Team All-NFL
T,Joe Thomas,AFC,CLE,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
T,Andrew Whitworth+,AFC,CIN,31,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Matt Kalil+,NFC,MIN,23,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Jermon Bushrod+,NFC,NOR,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Russell Okung,NFC,SEA,25,2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Trent Williams%,NFC,WAS,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
G,Marshal Yanda%,AFC,BAL,28,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
G,Mike Iupati%,NFC,SFO,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
G,Jahri Evans,NFC,NOR,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
G,Logan Mankins%,AFC,NWE,30,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
G,Zane Beadles+,AFC,DEN,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
G,Josh Sitton+,NFC,GNB,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
G,Wade Smith,AFC,HOU,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
G,Richie Incognito+,AFC,MIA,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
G,Chris Snee,NFC,NYG,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
C,Max Unger,NFC,SEA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
C,Maurkice Pouncey,AFC,PIT,23,2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
C,Jeff Saturday,NFC,GNB,37,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
C,Chris Myers,AFC,HOU,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
DE,J.J. Watt,AFC,HOU,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,69,20.5,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
DE,Cameron Wake,AFC,MIA,30,3,16,16,0,0,0,0,0,0,0,0,0,0,0,38,15.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
DE,Julius Peppers,NFC,CHI,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,32,11.5,0,Associated Press: 2nd Team All-NFL
DE,Elvis Dumervil,AFC,DEN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,32,11.0,0,
DE,Jared Allen,NFC,MIN,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,35,12.0,0,
DE,Jason Pierre-Paul,NFC,NYG,23,2,16,15,0,0,0,0,0,0,0,0,0,0,0,43,6.5,1,
